"","Age","Vulnerable","Lives_In_Hotspot","Political_association","News_Source","Trust_News","Covid_Knowledge","Trust_Conservatives","Trust_Ford","Mask","Bubble","Follow_Store_Restrictions","Non_essential_outing","Travel_Canada","Travel_World"
"795","55-64","No","Yes","Conservative","SM","Internet",2,"Yes","No","Most of the Time","Yes","Rarely","4-5","No","No"
"796","65-74","Yes","No","Liberals","News_Print","News_Print",1,"Yes","Maybe","Most of the Time","Yes","Most of the Time","4-5","No","No"
"797","25-34","Yes","No","NDP","News_TV","News_Print",2,"Maybe","No","Always","No","Never","7+","Yes","No"
"798","25-34","Yes","No","Conservative","Family","News_TV",2,"Yes","Yes","Always","Yes","Rarely","4-5","No","No"
"799","25-34","No","Yes","Liberals","News_Print","Internet",1,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"800","25-34","No","No","Liberals","Family","News_TV",1,"Yes","No","Always","Yes","Sometimes","1-3","No","No"
"801","45-54","No","Yes","Conservative","News_Print","Other",0,"Yes","No","Most of the Time","Yes","Always","0","No","No"
"802","45-54","No","No","NDP","Internet","News_Print",2,"Yes","No","Sometimes","Yes","Most of the Time","1-3","Yes","Yes"
"803","25-34","Yes","No","Liberals","Internet","Other",2,"No","Yes","Sometimes","No","Sometimes","1-3","No","No"
"804","45-54","Yes","No","Liberals","SM","News_Print",3,"Yes","No","Sometimes","Yes","Always","1-3","No","No"
"805","35-44","No","No","NDP","News_Print","Family",0,"Yes","Maybe","Sometimes","Yes","Rarely","1-3","Yes","No"
"806","74+","Yes","Yes","Liberals","Other","News_TV",2,"No","No","Always","Yes","Never","4-5","No","No"
"807","74+","Yes","No","Liberals","Internet","News_TV",5,"Yes","Yes","Sometimes","Yes","Always","1-3","No","No"
"808","25-34","No","No","Conservative","News_Print","News_TV",2,"Yes","Yes","Most of the Time","Yes","Always","1-3","Yes","No"
"809","35-44","No","No","NDP","Family","Internet",4,"Maybe","Yes","Sometimes","No","Always","4-5","No","No"
"810","45-54","No","No","NDP","News_TV","News_TV",4,"Yes","Maybe","Always","No","Sometimes","4-5","No","No"
"811","18-24","Yes","No","Green","Internet","Internet",3,"Yes","Yes","Never","No","Most of the Time","4-5","No","No"
"812","35-44","No","Yes","Conservative","Other","News_TV",5,"No","Yes","Never","No","Sometimes","4-5","No","No"
"813","35-44","No","No","NDP","SM","Internet",2,"No","Yes","Always","Yes","Sometimes","4-5","Yes","No"
"814","18-24","No","No","Liberals","SM","News_TV",1,"Yes","No","Most of the Time","Yes","Always","4-5","Yes","No"
"815","25-34","No","No","Green","Internet","News_Print",4,"Yes","No","Always","Yes","Never","4-5","No","Yes"
"816","45-54","No","Yes","NDP","News_TV","News_Print",3,"Yes","Yes","Most of the Time","Yes","Rarely","0","No","No"
"817","45-54","No","Yes","Conservative","SM","Other",4,"No","Maybe","Always","Yes","Sometimes","1-3","No","No"
"818","25-34","No","Yes","Liberals","Family","Internet",2,"No","No","Always","Yes","Always","1-3","No","No"
"819","74+","No","No","Conservative","News_Print","News_TV",2,"No","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"820","25-34","No","No","Conservative","Internet","Family",2,"Yes","No","Always","No","Always","4-5","No","No"
"821","45-54","Yes","No","Conservative","Other","SM",4,"No","No","Always","Yes","Rarely","1-3","No","No"
"822","25-34","Yes","No","Liberals","SM","Other",3,"Yes","No","Never","Yes","Most of the Time","1-3","No","No"
"823","35-44","Yes","Yes","Liberals","News_Print","SM",1,"No","Yes","Always","No","Most of the Time","1-3","Yes","No"
"824","55-64","No","No","Green","SM","Internet",5,"Yes","Yes","Most of the Time","No","Most of the Time","4-5","No","No"
"825","18-24","Yes","Yes","Conservative","News_Print","Internet",4,"Yes","Maybe","Always","Yes","Most of the Time","1-3","No","No"
"826","45-54","No","Yes","Green","News_Print","Other",3,"No","Yes","Always","Yes","Never","4-5","No","No"
"827","55-64","Yes","No","Liberals","News_TV","News_TV",4,"Yes","Yes","Most of the Time","No","Sometimes","4-5","Yes","No"
"828","55-64","No","No","Liberals","Family","News_TV",3,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"829","18-24","Yes","Yes","Green","News_TV","News_Print",1,"Maybe","Yes","Sometimes","Yes","Rarely","1-3","No","No"
"830","25-34","Yes","Yes","NDP","News_TV","News_TV",2,"Yes","Yes","Rarely","Yes","Always","4-5","Yes","No"
"831","25-34","No","Yes","Conservative","Internet","News_Print",4,"Yes","Yes","Sometimes","Yes","Most of the Time","7+","Yes","No"
"832","35-44","No","Yes","Conservative","SM","Internet",4,"Yes","Maybe","Most of the Time","Yes","Always","1-3","No","No"
"833","45-54","Yes","Yes","Conservative","Internet","News_TV",0,"Yes","Yes","Most of the Time","Yes","Rarely","0","No","No"
"834","45-54","No","No","NDP","Other","News_TV",2,"Maybe","Yes","Rarely","No","Rarely","1-3","Yes","No"
"835","65-74","No","Yes","Conservative","News_TV","News_Print",3,"Yes","No","Always","No","Rarely","0","No","No"
"836","18-24","No","Yes","NDP","Internet","News_TV",4,"Yes","No","Rarely","Yes","Rarely","1-3","No","Yes"
"837","25-34","No","No","NDP","Internet","News_TV",1,"Maybe","Yes","Most of the Time","Yes","Sometimes","1-3","No","No"
"838","25-34","No","No","Liberals","News_TV","News_TV",0,"No","Yes","Never","Yes","Always","1-3","No","No"
"839","45-54","No","Yes","Conservative","News_Print","News_Print",5,"Yes","Maybe","Sometimes","Yes","Sometimes","1-3","Yes","No"
"840","25-34","Yes","Yes","Liberals","News_TV","Family",5,"Yes","Yes","Always","Yes","Never","4-5","Yes","No"
"841","18-24","No","No","NDP","News_TV","News_TV",4,"Maybe","Yes","Always","Yes","Most of the Time","1-3","Yes","No"
"842","55-64","No","No","NDP","News_Print","Other",1,"Yes","Yes","Sometimes","Yes","Never","0","Yes","No"
"843","55-64","Yes","Yes","Conservative","SM","News_Print",5,"Maybe","Yes","Always","No","Always","4-5","No","No"
"844","25-34","No","Yes","NDP","Internet","Other",5,"No","Yes","Most of the Time","No","Rarely","7+","No","No"
"845","55-64","Yes","No","Conservative","Internet","News_TV",4,"Yes","No","Most of the Time","Yes","Always","0","No","Yes"
"846","65-74","No","No","Liberals","Other","Family",2,"Maybe","Maybe","Always","Yes","Always","4-5","No","No"
"847","35-44","No","No","Conservative","Other","News_Print",0,"Maybe","Yes","Rarely","Yes","Most of the Time","0","Yes","No"
"848","65-74","No","No","NDP","SM","Other",3,"Yes","No","Always","Yes","Most of the Time","1-3","No","No"
"849","25-34","Yes","Yes","Conservative","Internet","News_Print",4,"Yes","Maybe","Most of the Time","Yes","Most of the Time","1-3","No","No"
"850","55-64","Yes","Yes","NDP","News_TV","Internet",4,"Yes","Yes","Most of the Time","Yes","Sometimes","1-3","No","No"
"851","35-44","Yes","Yes","Green","News_Print","Family",5,"Maybe","Yes","Most of the Time","Yes","Rarely","4-5","No","No"
"852","45-54","No","Yes","Conservative","Internet","Family",0,"Yes","Maybe","Always","Yes","Rarely","4-5","No","No"
"853","45-54","Yes","Yes","NDP","News_Print","News_Print",2,"Yes","Yes","Sometimes","Yes","Always","4-5","No","No"
"854","74+","No","Yes","Conservative","News_Print","News_TV",1,"Yes","Yes","Never","No","Rarely","7+","No","No"
"855","65-74","Yes","No","Liberals","Other","News_Print",2,"No","Yes","Most of the Time","Yes","Most of the Time","0","Yes","No"
"856","65-74","No","No","NDP","Family","News_Print",4,"Maybe","Yes","Never","Yes","Most of the Time","1-3","No","No"
"857","18-24","Yes","No","Liberals","Internet","News_Print",3,"No","No","Sometimes","Yes","Sometimes","4-5","No","No"
"858","45-54","No","No","Liberals","News_TV","SM",0,"No","Maybe","Always","Yes","Never","1-3","No","No"
"859","18-24","No","Yes","Liberals","SM","SM",3,"Yes","No","Always","Yes","Always","4-5","No","No"
"860","35-44","No","No","Conservative","Family","News_TV",0,"No","Yes","Sometimes","Yes","Sometimes","4-5","No","No"
"861","74+","No","Yes","Liberals","SM","Other",3,"Yes","Yes","Rarely","Yes","Sometimes","1-3","No","No"
"862","65-74","No","No","Conservative","Other","News_TV",1,"No","No","Most of the Time","Yes","Always","1-3","No","No"
"863","55-64","No","No","Liberals","Family","Family",3,"No","Yes","Never","Yes","Always","4-5","No","No"
"864","35-44","Yes","No","Conservative","SM","Other",3,"No","Maybe","Most of the Time","No","Always","1-3","No","No"
"865","35-44","Yes","Yes","Liberals","News_TV","Other",4,"Yes","Yes","Most of the Time","Yes","Always","4-5","No","No"
"866","74+","No","Yes","Liberals","Internet","Family",0,"Yes","No","Most of the Time","No","Always","4-5","Yes","No"
"867","35-44","No","No","Conservative","Internet","News_Print",1,"Maybe","Yes","Always","Yes","Most of the Time","1-3","No","No"
"868","55-64","No","No","Liberals","News_Print","News_Print",5,"No","No","Most of the Time","Yes","Never","4-5","No","No"
"869","65-74","Yes","No","Green","News_Print","Family",2,"Yes","Maybe","Never","No","Sometimes","7+","No","No"
"870","45-54","No","No","NDP","SM","Internet",5,"No","No","Always","Yes","Most of the Time","4-5","No","No"
"871","65-74","Yes","No","Liberals","Family","Internet",0,"No","No","Always","Yes","Most of the Time","4-5","Yes","No"
"872","65-74","No","No","Liberals","News_TV","News_TV",3,"Yes","No","Always","No","Most of the Time","4-5","No","No"
"873","65-74","No","No","Conservative","Family","News_TV",1,"Yes","Maybe","Most of the Time","Yes","Never","1-3","Yes","No"
"874","35-44","No","Yes","Green","Family","Internet",4,"Yes","Yes","Always","Yes","Sometimes","1-3","Yes","No"
"875","18-24","No","No","Conservative","Internet","News_Print",1,"Yes","No","Most of the Time","Yes","Sometimes","1-3","Yes","No"
"876","25-34","No","Yes","Liberals","Internet","News_Print",5,"No","Yes","Always","Yes","Most of the Time","0","Yes","No"
"877","35-44","No","Yes","Conservative","News_TV","SM",4,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"878","65-74","Yes","No","Conservative","SM","Internet",2,"Yes","No","Always","Yes","Most of the Time","7+","No","No"
"879","65-74","No","Yes","Conservative","Internet","News_Print",2,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","No"
"880","45-54","No","Yes","Liberals","Internet","SM",2,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"881","55-64","No","Yes","NDP","Internet","News_Print",1,"No","Yes","Always","No","Most of the Time","1-3","Yes","No"
"882","45-54","No","Yes","Liberals","Family","News_TV",0,"Yes","No","Most of the Time","Yes","Rarely","4-5","No","No"
"883","45-54","No","Yes","Conservative","News_TV","Other",2,"Yes","Yes","Most of the Time","Yes","Never","1-3","No","No"
"884","35-44","Yes","Yes","NDP","News_TV","News_Print",2,"Maybe","Maybe","Always","Yes","Most of the Time","4-5","No","No"
"885","35-44","No","No","NDP","News_Print","Family",3,"No","No","Always","Yes","Most of the Time","7+","No","No"
"886","65-74","No","No","Liberals","News_TV","News_TV",2,"Yes","Yes","Most of the Time","Yes","Always","1-3","Yes","No"
"887","35-44","No","Yes","Conservative","Family","News_TV",1,"Yes","Yes","Most of the Time","Yes","Always","1-3","No","No"
"888","45-54","No","Yes","Liberals","Other","Other",3,"No","Yes","Sometimes","Yes","Most of the Time","4-5","No","No"
"889","55-64","No","No","NDP","SM","News_TV",3,"Maybe","No","Most of the Time","No","Most of the Time","4-5","No","No"
"890","18-24","No","Yes","Conservative","Internet","Other",4,"Yes","Yes","Rarely","No","Always","4-5","No","Yes"
"891","25-34","No","Yes","Liberals","News_Print","News_TV",4,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"892","55-64","No","Yes","Liberals","News_Print","Internet",2,"No","Yes","Always","No","Sometimes","1-3","Yes","No"
"893","25-34","No","No","Conservative","News_Print","News_Print",5,"Yes","Yes","Most of the Time","Yes","Always","1-3","No","No"
"894","45-54","Yes","No","Liberals","News_Print","News_Print",2,"Yes","No","Never","Yes","Rarely","1-3","No","No"
"895","55-64","No","No","Green","News_TV","SM",3,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"896","74+","No","Yes","Liberals","Internet","News_TV",4,"Yes","Yes","Most of the Time","Yes","Sometimes","7+","Yes","No"
"897","55-64","No","Yes","Conservative","News_Print","Other",2,"No","No","Most of the Time","No","Rarely","4-5","Yes","No"
"898","35-44","Yes","No","Liberals","News_TV","SM",5,"Yes","Yes","Always","No","Always","4-5","Yes","No"
"899","18-24","No","No","Conservative","Family","News_TV",3,"Yes","Yes","Rarely","Yes","Most of the Time","1-3","No","No"
"900","55-64","No","No","Liberals","News_Print","Other",1,"Yes","No","Sometimes","Yes","Sometimes","4-5","No","No"
"901","55-64","No","No","Conservative","News_Print","Internet",2,"Yes","No","Always","Yes","Never","1-3","Yes","No"
"902","45-54","No","No","Liberals","Family","News_TV",3,"Yes","Maybe","Sometimes","Yes","Always","4-5","No","No"
"903","65-74","No","No","Liberals","SM","Internet",4,"Yes","Yes","Sometimes","Yes","Always","4-5","No","No"
"904","45-54","No","Yes","Liberals","Internet","Family",3,"No","No","Rarely","Yes","Most of the Time","1-3","No","No"
"905","74+","Yes","No","Conservative","News_TV","News_TV",0,"Maybe","Yes","Rarely","No","Always","1-3","Yes","No"
"906","55-64","No","No","NDP","SM","News_Print",1,"No","Yes","Sometimes","Yes","Sometimes","1-3","No","No"
"907","45-54","Yes","Yes","Liberals","Other","News_TV",4,"No","Yes","Always","Yes","Sometimes","4-5","No","No"
"908","25-34","Yes","No","Liberals","News_Print","Internet",2,"Yes","No","Always","Yes","Always","1-3","Yes","No"
"909","25-34","No","Yes","Conservative","Family","SM",2,"No","Yes","Always","No","Always","1-3","No","No"
"910","65-74","No","No","Green","Internet","Family",2,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"911","55-64","No","Yes","Liberals","Internet","Internet",3,"Yes","Maybe","Rarely","No","Always","7+","No","No"
"912","55-64","Yes","Yes","Conservative","News_Print","News_Print",3,"No","Yes","Always","Yes","Most of the Time","0","Yes","No"
"913","55-64","No","Yes","Conservative","Family","News_Print",3,"Yes","No","Always","Yes","Never","1-3","No","No"
"914","45-54","No","Yes","Green","News_TV","News_Print",2,"No","Yes","Rarely","Yes","Always","1-3","No","No"
"915","65-74","Yes","No","Conservative","News_TV","News_Print",2,"Yes","Maybe","Sometimes","Yes","Always","1-3","No","No"
"916","35-44","No","Yes","Conservative","Other","News_TV",2,"Yes","Yes","Most of the Time","Yes","Always","0","No","No"
"917","35-44","No","No","Liberals","News_Print","Family",2,"No","No","Always","Yes","Most of the Time","7+","No","No"
"918","18-24","No","Yes","Conservative","News_Print","Internet",3,"Yes","Yes","Always","Yes","Rarely","4-5","No","No"
"919","45-54","Yes","Yes","Green","SM","News_Print",3,"No","No","Sometimes","No","Rarely","1-3","No","No"
"920","35-44","No","Yes","Conservative","Other","Internet",1,"Yes","No","Always","Yes","Sometimes","4-5","No","No"
"921","55-64","Yes","No","Conservative","News_TV","News_Print",4,"Yes","Yes","Sometimes","Yes","Always","0","Yes","No"
"922","45-54","Yes","Yes","Liberals","SM","Other",4,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","Yes","No"
"923","55-64","No","Yes","NDP","Internet","News_TV",4,"Yes","Yes","Always","No","Rarely","4-5","No","No"
"924","45-54","No","No","Conservative","News_Print","SM",0,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"925","25-34","No","No","NDP","SM","News_TV",4,"Maybe","No","Sometimes","Yes","Always","7+","No","No"
"926","45-54","No","No","NDP","Other","News_TV",3,"Maybe","No","Never","Yes","Never","4-5","Yes","Yes"
"927","35-44","No","Yes","Liberals","SM","News_Print",4,"No","No","Sometimes","No","Never","7+","Yes","No"
"928","74+","No","No","NDP","News_Print","Other",3,"No","Yes","Never","No","Always","1-3","No","No"
"929","35-44","No","No","NDP","News_Print","News_TV",3,"Maybe","Yes","Never","No","Always","0","No","No"
"930","25-34","No","Yes","Conservative","Family","Internet",1,"No","No","Most of the Time","Yes","Always","1-3","No","No"
"931","65-74","Yes","No","NDP","News_TV","News_Print",3,"Yes","Yes","Always","No","Always","4-5","No","No"
"932","55-64","Yes","Yes","Liberals","News_TV","SM",3,"Yes","Yes","Always","Yes","Rarely","7+","No","No"
"933","55-64","Yes","No","Liberals","Other","Internet",1,"No","Yes","Always","No","Rarely","0","Yes","No"
"934","45-54","No","No","Liberals","News_TV","Internet",0,"Maybe","Yes","Always","Yes","Always","1-3","Yes","No"
"935","55-64","Yes","No","NDP","Internet","News_TV",5,"Yes","Yes","Most of the Time","Yes","Rarely","0","No","No"
"936","55-64","Yes","Yes","Conservative","Family","News_Print",4,"Maybe","No","Always","No","Most of the Time","4-5","No","No"
"937","74+","Yes","No","Liberals","News_Print","News_TV",1,"Maybe","No","Never","Yes","Most of the Time","4-5","Yes","No"
"938","74+","No","Yes","Liberals","News_Print","Internet",2,"Yes","Yes","Rarely","No","Always","1-3","Yes","Yes"
"939","35-44","Yes","No","Conservative","News_TV","News_Print",1,"No","Yes","Always","Yes","Always","4-5","Yes","Yes"
"940","25-34","No","Yes","NDP","News_TV","News_TV",5,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"941","65-74","No","No","NDP","News_TV","News_TV",5,"Yes","Yes","Always","Yes","Sometimes","1-3","No","No"
"942","35-44","No","No","Green","News_TV","News_TV",3,"Yes","No","Most of the Time","No","Always","4-5","No","No"
"943","45-54","No","No","Green","News_TV","Other",2,"No","Yes","Always","Yes","Most of the Time","4-5","No","No"
"944","35-44","No","Yes","NDP","SM","News_TV",4,"Yes","Yes","Always","Yes","Always","1-3","No","No"
"945","35-44","Yes","No","Conservative","Internet","Other",2,"Yes","Yes","Always","Yes","Sometimes","4-5","Yes","No"
"946","55-64","No","Yes","Conservative","Internet","News_TV",3,"Yes","Maybe","Always","Yes","Always","4-5","No","No"
"947","65-74","No","Yes","NDP","Internet","SM",3,"Yes","No","Most of the Time","Yes","Always","4-5","No","No"
"948","25-34","No","Yes","Liberals","News_Print","SM",2,"No","No","Always","Yes","Most of the Time","4-5","No","No"
"949","55-64","No","Yes","Conservative","News_TV","Family",2,"Yes","Yes","Always","Yes","Most of the Time","1-3","Yes","No"
"950","55-64","No","No","Liberals","News_TV","News_TV",0,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"951","74+","Yes","No","Liberals","News_TV","News_Print",3,"Yes","No","Sometimes","Yes","Always","1-3","No","No"
"952","35-44","No","Yes","Conservative","Internet","News_TV",1,"No","Yes","Sometimes","Yes","Rarely","4-5","No","No"
"953","65-74","Yes","No","Conservative","News_TV","SM",2,"No","Yes","Always","Yes","Most of the Time","4-5","No","No"
"954","25-34","No","No","Liberals","Family","News_TV",1,"Yes","Yes","Sometimes","No","Most of the Time","1-3","Yes","No"
"955","18-24","No","No","Conservative","News_TV","SM",5,"No","Yes","Rarely","No","Always","4-5","No","No"
"956","35-44","No","No","Liberals","News_TV","Other",3,"Yes","Yes","Rarely","No","Never","4-5","No","No"
"957","45-54","No","No","Liberals","Other","Internet",1,"Maybe","Yes","Always","Yes","Most of the Time","1-3","No","No"
"958","45-54","No","Yes","Conservative","News_TV","News_Print",1,"Yes","Maybe","Never","Yes","Most of the Time","4-5","No","No"
"959","18-24","No","No","Liberals","News_TV","News_Print",0,"No","No","Rarely","Yes","Most of the Time","0","Yes","No"
"960","45-54","No","No","Conservative","Internet","Other",5,"Yes","Yes","Most of the Time","Yes","Sometimes","1-3","Yes","No"
"961","18-24","Yes","No","Conservative","News_TV","News_Print",2,"No","Yes","Rarely","Yes","Rarely","7+","No","No"
"962","35-44","Yes","No","Conservative","News_TV","Internet",4,"Yes","No","Most of the Time","Yes","Always","4-5","Yes","No"
"963","18-24","No","Yes","NDP","News_Print","News_TV",1,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","No"
"964","45-54","No","No","NDP","News_Print","Family",2,"Yes","No","Sometimes","No","Sometimes","4-5","No","No"
"965","35-44","Yes","No","NDP","News_TV","Other",5,"Maybe","No","Always","Yes","Most of the Time","1-3","No","No"
"966","74+","No","Yes","Conservative","News_TV","Other",4,"Yes","Yes","Rarely","Yes","Most of the Time","1-3","Yes","No"
"967","74+","No","No","NDP","News_Print","Internet",0,"Maybe","Yes","Rarely","Yes","Sometimes","0","No","No"
"968","45-54","No","No","NDP","Internet","News_TV",4,"Yes","Yes","Always","Yes","Most of the Time","4-5","Yes","No"
"969","45-54","Yes","No","Conservative","News_Print","News_Print",3,"Yes","Maybe","Most of the Time","No","Always","0","Yes","No"
"970","35-44","No","No","Liberals","News_TV","Internet",3,"Yes","Yes","Sometimes","No","Sometimes","4-5","No","No"
"971","45-54","Yes","Yes","Liberals","Family","News_Print",0,"Yes","Yes","Never","Yes","Never","4-5","Yes","No"
"972","55-64","Yes","No","Green","Internet","News_Print",1,"Maybe","No","Always","No","Sometimes","1-3","No","No"
"973","45-54","No","No","Conservative","News_Print","News_TV",5,"No","Yes","Sometimes","No","Most of the Time","1-3","Yes","No"
"974","35-44","Yes","No","Liberals","News_Print","Internet",5,"Yes","No","Always","Yes","Always","1-3","Yes","No"
"975","65-74","No","Yes","Green","News_Print","News_TV",0,"Yes","No","Never","Yes","Most of the Time","4-5","No","No"
"976","18-24","Yes","No","NDP","Internet","Internet",0,"Yes","Yes","Rarely","Yes","Most of the Time","1-3","No","No"
"977","65-74","No","Yes","Conservative","Internet","News_TV",4,"No","Maybe","Always","Yes","Always","1-3","No","No"
"978","55-64","No","No","Green","SM","News_TV",5,"Maybe","No","Always","Yes","Most of the Time","1-3","No","No"
"979","55-64","No","Yes","NDP","News_Print","News_TV",3,"Maybe","No","Always","Yes","Always","1-3","No","No"
"980","18-24","No","No","Liberals","Internet","SM",1,"Yes","No","Always","Yes","Sometimes","0","No","No"
"981","55-64","No","Yes","Liberals","News_TV","SM",5,"Maybe","Yes","Always","No","Sometimes","7+","No","No"
"982","25-34","No","No","NDP","News_TV","News_Print",2,"Yes","Yes","Sometimes","Yes","Sometimes","1-3","Yes","No"
"983","45-54","Yes","No","Green","SM","SM",1,"Yes","Yes","Rarely","No","Always","1-3","Yes","No"
"984","74+","No","No","NDP","Internet","News_Print",2,"No","No","Sometimes","Yes","Sometimes","7+","No","No"
"985","25-34","No","No","Conservative","SM","Internet",5,"Yes","Yes","Always","Yes","Most of the Time","1-3","Yes","Yes"
"986","35-44","Yes","No","Conservative","SM","News_Print",4,"No","No","Rarely","No","Rarely","4-5","No","No"
"987","45-54","No","Yes","Liberals","News_Print","Internet",2,"Yes","Yes","Most of the Time","No","Rarely","1-3","Yes","No"
"988","45-54","No","No","Liberals","SM","News_Print",3,"Yes","No","Most of the Time","No","Always","4-5","No","No"
"989","35-44","No","Yes","Conservative","Family","News_Print",1,"Yes","No","Most of the Time","Yes","Most of the Time","1-3","No","No"
"990","25-34","Yes","No","Liberals","Family","Internet",2,"No","No","Always","No","Rarely","1-3","Yes","No"
"991","25-34","Yes","No","Conservative","Family","Internet",2,"No","No","Always","Yes","Most of the Time","1-3","No","No"
"992","25-34","Yes","No","Liberals","News_Print","News_TV",0,"Yes","Yes","Most of the Time","No","Always","1-3","No","No"
"993","55-64","No","No","Liberals","News_Print","Internet",4,"Yes","No","Most of the Time","Yes","Never","1-3","No","No"
"994","25-34","Yes","No","Liberals","News_Print","News_TV",2,"Yes","Yes","Rarely","No","Always","7+","No","No"
"995","45-54","No","Yes","Conservative","Internet","Internet",1,"Yes","Yes","Sometimes","Yes","Always","4-5","Yes","No"
"996","25-34","Yes","No","Liberals","SM","News_TV",1,"No","No","Always","No","Always","1-3","No","No"
"997","25-34","No","No","Conservative","News_TV","Family",3,"Yes","Yes","Most of the Time","No","Never","1-3","No","No"
"998","18-24","Yes","No","Liberals","News_Print","News_TV",1,"Yes","Yes","Most of the Time","Yes","Never","1-3","No","No"
"999","35-44","Yes","No","Liberals","Internet","Other",1,"Maybe","Yes","Always","Yes","Most of the Time","1-3","No","No"
"1000","25-34","No","No","Conservative","News_Print","News_TV",2,"Maybe","Maybe","Always","Yes","Never","7+","No","No"
"1001","35-44","No","No","Conservative","Internet","Other",3,"No","No","Rarely","Yes","Rarely","4-5","Yes","No"
"1002","25-34","No","No","Liberals","Internet","News_TV",0,"No","No","Sometimes","Yes","Always","4-5","No","No"
"1003","35-44","Yes","Yes","Conservative","SM","Internet",4,"Yes","No","Always","Yes","Most of the Time","1-3","Yes","No"
"1004","18-24","No","No","NDP","Internet","News_TV",5,"Maybe","Maybe","Always","Yes","Always","4-5","No","No"
"1005","55-64","Yes","No","NDP","SM","News_Print",3,"Yes","No","Most of the Time","No","Rarely","0","Yes","No"
"1006","55-64","No","Yes","Liberals","Internet","News_Print",5,"No","Maybe","Most of the Time","Yes","Most of the Time","1-3","No","No"
"1007","55-64","No","No","Liberals","Internet","News_Print",4,"No","Yes","Always","Yes","Most of the Time","4-5","No","No"
"1008","55-64","No","Yes","Liberals","Internet","News_Print",3,"No","No","Sometimes","Yes","Most of the Time","4-5","No","No"
"1009","45-54","Yes","Yes","Conservative","Internet","Other",4,"Yes","No","Rarely","Yes","Always","1-3","No","No"
"1010","35-44","No","No","Conservative","Internet","SM",3,"No","No","Sometimes","Yes","Most of the Time","4-5","No","Yes"
"1011","74+","No","No","Liberals","News_Print","SM",4,"Yes","No","Always","Yes","Always","1-3","Yes","No"
"1012","55-64","No","No","Conservative","Internet","Other",1,"No","Maybe","Most of the Time","Yes","Most of the Time","1-3","No","No"
"1013","25-34","No","No","Conservative","News_Print","News_TV",2,"Maybe","Yes","Never","Yes","Most of the Time","4-5","No","No"
"1014","18-24","No","No","Liberals","SM","News_Print",2,"No","Yes","Most of the Time","Yes","Always","1-3","No","No"
"1015","45-54","No","No","Green","Family","News_Print",2,"Yes","Maybe","Always","Yes","Always","1-3","No","No"
"1016","65-74","No","Yes","NDP","Internet","Other",4,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","Yes"
"1017","25-34","No","No","Green","News_TV","SM",3,"Yes","Maybe","Rarely","Yes","Most of the Time","1-3","No","No"
"1018","35-44","No","No","Conservative","News_TV","News_TV",1,"Yes","No","Sometimes","No","Most of the Time","1-3","No","No"
"1019","18-24","Yes","Yes","Liberals","SM","News_Print",3,"Yes","No","Always","Yes","Rarely","1-3","No","No"
"1020","65-74","No","Yes","Green","Internet","News_TV",4,"Maybe","No","Always","Yes","Most of the Time","4-5","No","No"
"1021","25-34","No","No","Liberals","SM","News_TV",1,"Yes","Yes","Always","No","Rarely","4-5","No","No"
"1022","35-44","Yes","No","Conservative","SM","News_TV",4,"No","Yes","Rarely","Yes","Always","4-5","No","No"
"1023","65-74","No","No","Liberals","SM","News_Print",3,"Yes","Yes","Most of the Time","Yes","Always","4-5","No","No"
"1024","45-54","No","Yes","Liberals","News_TV","SM",0,"Yes","Maybe","Always","Yes","Sometimes","1-3","No","No"
"1025","74+","No","No","Liberals","News_TV","Internet",2,"No","Yes","Sometimes","Yes","Never","1-3","No","No"
"1026","45-54","No","No","Conservative","News_Print","News_TV",5,"Yes","Yes","Most of the Time","Yes","Always","1-3","Yes","No"
"1027","55-64","No","Yes","Liberals","SM","Internet",4,"Yes","No","Rarely","Yes","Always","4-5","Yes","No"
"1028","65-74","No","No","Conservative","Other","News_TV",0,"Yes","No","Always","Yes","Most of the Time","7+","No","No"
"1029","74+","No","Yes","Conservative","Internet","News_Print",4,"Yes","Yes","Most of the Time","Yes","Always","1-3","Yes","No"
"1030","35-44","No","No","Conservative","News_TV","News_Print",1,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"1031","18-24","No","No","Conservative","News_Print","News_Print",2,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"1032","55-64","No","No","Conservative","Internet","News_Print",1,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"1033","35-44","No","Yes","Liberals","News_TV","News_Print",1,"No","Yes","Most of the Time","No","Always","4-5","No","No"
